epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,499.44,0.13405,1,1,0.31484,0.000235755,0.000235755,0.000235755
2,952.177,0.00998,1,1,0.31373,0.000426853,0.000426853,0.000426853
3,1448.64,0.00506,1,1,0.31347,0.000570827,0.000570827,0.000570827
4,1948.48,0.00373,1,1,0.31339,0.000501942,0.000501942,0.000501942
5,2506.52,0.0028,1,1,0.31391,0.000431256,0.000431256,0.000431256
6,2961.81,0.00196,1,1,0.31333,0.00036057,0.00036057,0.00036057
7,3433.64,0.0022,1,1,0.31615,0.000289884,0.000289884,0.000289884
8,3935.34,0.00224,1,1,0.31354,0.000219198,0.000219198,0.000219198
9,4401.91,0.0008,1,1,0.31345,0.000148512,0.000148512,0.000148512
10,4852.16,0.00143,1,1,0.31348,7.7826e-05,7.7826e-05,7.7826e-05
